site_id,well_id,cell_type,experiment,plate,well,site,disease_condition,treatment,treatment_conc,,,,,,,,,,,,,,,,
HRCE-1_25_AE03_1,HRCE-1_25_AE03,HRCE,HRCE-1,25,AE03,1,Active SARS-CoV-2,Aloxistatin,1,,,,,,,,,,,,,,,,
HRCE-1_25_G35_1,HRCE-1_25_G35,HRCE,HRCE-1,25,G35,1,Active SARS-CoV-2,Aloxistatin,3,,,,,,,,,,,,,,,,
HRCE-1_25_H36_1,HRCE-1_25_H36,HRCE,HRCE-1,25,H36,1,Active SARS-CoV-2,Aloxistatin,3,,,,,,,,,,,,,,,,
HRCE-1_25_J07_1,HRCE-1_25_J07,HRCE,HRCE-1,25,J07,1,Active SARS-CoV-2,Aloxistatin,3,,,,,,,,,,,,,,,,
HRCE-1_25_J39_1,HRCE-1_25_J39,HRCE,HRCE-1,25,J39,1,Active SARS-CoV-2,Aloxistatin,0.3,,,,,,,,,,,,,,,,
HRCE-1_25_P13_1,HRCE-1_25_P13,HRCE,HRCE-1,25,P13,1,Active SARS-CoV-2,Aloxistatin,1,,,,,,,,,,,,,,,,
HRCE-1_25_T05_1,HRCE-1_25_T05,HRCE,HRCE-1,25,T05,1,Active SARS-CoV-2,Aloxistatin,0.3,,,,,,,,,,,,,,,,
HRCE-1_25_U10_1,HRCE-1_25_U10,HRCE,HRCE-1,25,U10,1,Active SARS-CoV-2,Aloxistatin,0.3,,,,,,,,,,,,,,,,
HRCE-1_25_V21_1,HRCE-1_25_V21,HRCE,HRCE-1,25,V21,1,Active SARS-CoV-2,Aloxistatin,1,,,,,,,,,,,,,,,,
HRCE-1_26_AB27_1,HRCE-1_26_AB27,HRCE,HRCE-1,26,AB27,1,Active SARS-CoV-2,Aloxistatin,3,,,,,,,,,,,,,,,,
HRCE-1_26_AD27_1,HRCE-1_26_AD27,HRCE,HRCE-1,26,AD27,1,Active SARS-CoV-2,Aloxistatin,0.3,,,,,,,,,,,,,,,,
HRCE-1_26_E07_1,HRCE-1_26_E07,HRCE,HRCE-1,26,E07,1,Active SARS-CoV-2,Aloxistatin,1,,,,,,,,,,,,,,,,
HRCE-1_26_J05_1,HRCE-1_26_J05,HRCE,HRCE-1,26,J05,1,Active SARS-CoV-2,Aloxistatin,3,,,,,,,,,,,,,,,,
HRCE-1_26_P46_1,HRCE-1_26_P46,HRCE,HRCE-1,26,P46,1,Active SARS-CoV-2,Aloxistatin,1,,,,,,,,,,,,,,,,
HRCE-1_26_Q28_1,HRCE-1_26_Q28,HRCE,HRCE-1,26,Q28,1,Active SARS-CoV-2,Aloxistatin,0.3,,,,,,,,,,,,,,,,
HRCE-1_26_T44_1,HRCE-1_26_T44,HRCE,HRCE-1,26,T44,1,Active SARS-CoV-2,Aloxistatin,1,,,,,,,,,,,,,,,,
HRCE-1_26_U15_1,HRCE-1_26_U15,HRCE,HRCE-1,26,U15,1,Active SARS-CoV-2,Aloxistatin,0.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
