site_id,well_id,cell_type,experiment,plate,well,site,disease_condition,treatment,treatment_conc,,,,,,,,,,,,,,,,
HRCE-2_1_F44_1,HRCE-2_1_F44,HRCE,HRCE-2,1,F44,1,Active SARS-CoV-2,Mebendazole,1,,,,,,,,,,,,,,,,
HRCE-2_1_G21_1,HRCE-2_1_G21,HRCE,HRCE-2,1,G21,1,Active SARS-CoV-2,Mebendazole,3,,,,,,,,,,,,,,,,
HRCE-2_1_K06_1,HRCE-2_1_K06,HRCE,HRCE-2,1,K06,1,Active SARS-CoV-2,Mebendazole,1,,,,,,,,,,,,,,,,
HRCE-2_1_S44_1,HRCE-2_1_S44,HRCE,HRCE-2,1,S44,1,Active SARS-CoV-2,Mebendazole,0.3,,,,,,,,,,,,,,,,
HRCE-2_1_V12_1,HRCE-2_1_V12,HRCE,HRCE-2,1,V12,1,Active SARS-CoV-2,Mebendazole,0.3,,,,,,,,,,,,,,,,
HRCE-2_1_X29_1,HRCE-2_1_X29,HRCE,HRCE-2,1,X29,1,Active SARS-CoV-2,Mebendazole,3,,,,,,,,,,,,,,,,
HRCE-2_9_E31_1,HRCE-2_9_E31,HRCE,HRCE-2,9,E31,1,Active SARS-CoV-2,Mebendazole,3,,,,,,,,,,,,,,,,
HRCE-2_9_G26_1,HRCE-2_9_G26,HRCE,HRCE-2,9,G26,1,Active SARS-CoV-2,Mebendazole,1,,,,,,,,,,,,,,,,
HRCE-2_9_S12_1,HRCE-2_9_S12,HRCE,HRCE-2,9,S12,1,Active SARS-CoV-2,Mebendazole,0.3,,,,,,,,,,,,,,,,
HRCE-2_9_T31_1,HRCE-2_9_T31,HRCE,HRCE-2,9,T31,1,Active SARS-CoV-2,Mebendazole,0.3,,,,,,,,,,,,,,,,
HRCE-2_9_T37_1,HRCE-2_9_T37,HRCE,HRCE-2,9,T37,1,Active SARS-CoV-2,Mebendazole,3,,,,,,,,,,,,,,,,
HRCE-2_9_U09_1,HRCE-2_9_U09,HRCE,HRCE-2,9,U09,1,Active SARS-CoV-2,Mebendazole,1,,,,,,,,,,,,,,,,
HRCE-2_17_AA04_1,HRCE-2_17_AA04,HRCE,HRCE-2,17,AA04,1,Active SARS-CoV-2,Mebendazole,3,,,,,,,,,,,,,,,,
HRCE-2_17_G37_1,HRCE-2_17_G37,HRCE,HRCE-2,17,G37,1,Active SARS-CoV-2,Mebendazole,1,,,,,,,,,,,,,,,,
HRCE-2_17_I33_1,HRCE-2_17_I33,HRCE,HRCE-2,17,I33,1,Active SARS-CoV-2,Mebendazole,0.3,,,,,,,,,,,,,,,,
HRCE-2_17_J38_1,HRCE-2_17_J38,HRCE,HRCE-2,17,J38,1,Active SARS-CoV-2,Mebendazole,1,,,,,,,,,,,,,,,,
HRCE-2_17_P46_1,HRCE-2_17_P46,HRCE,HRCE-2,17,P46,1,Active SARS-CoV-2,Mebendazole,3,,,,,,,,,,,,,,,,
HRCE-2_17_Q37_1,HRCE-2_17_Q37,HRCE,HRCE-2,17,Q37,1,Active SARS-CoV-2,Mebendazole,0.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
